#	top	0.001
08578517	_derivationally_related_form	02661574
02661574	_derivationally_related_form	08578517
anomaly:	00850192	_derivationally_related_form	03258730
anomaly:	00756780	_derivationally_related_form	02681084
anomaly:	03251766	_derivationally_related_form	00921072
anomaly:	05734018	_derivationally_related_form	14524198
anomaly:	00198057	_derivationally_related_form	00180413
anomaly:	14841267	_derivationally_related_form	10616379
anomaly:	04526241	_derivationally_related_form	01219306
anomaly:	10770767	_derivationally_related_form	01063695
anomaly:	00118552	_derivationally_related_form	02151700
anomaly:	10013927	_derivationally_related_form	03040587
anomaly:	05294606	_derivationally_related_form	04864515
anomaly:	01266945	_derivationally_related_form	13350443
anomaly:	00745499	_derivationally_related_form	15008847
anomaly:	04531098	_derivationally_related_form	10511425
anomaly:	03240140	_derivationally_related_form	10200365
anomaly:	00793580	_derivationally_related_form	00373520
anomaly:	00852685	_derivationally_related_form	03103128
anomaly:	10240082	_derivationally_related_form	02967626
anomaly:	11991080	_hypernym	14625458
anomaly:	14875077	_derivationally_related_form	00958823
anomaly:	07508806	_derivationally_related_form	07375405
anomaly:	00751567	_derivationally_related_form	09193282
anomaly:	00328885	_derivationally_related_form	05774614
anomaly:	00599472	_derivationally_related_form	13458571
anomaly:	00376715	_derivationally_related_form	05833840
anomaly:	04821084	_derivationally_related_form	01578513
anomaly:	02443849	_hypernym	02722166
anomaly:	08567235	_derivationally_related_form	10225219
anomaly:	03287459	_hypernym	00259927
anomaly:	04143140	_derivationally_related_form	01743217
anomaly:	03054098	_hypernym	05982915
anomaly:	00006484	_derivationally_related_form	02566528
anomaly:	00284930	_derivationally_related_form	10038929
anomaly:	00858341	_derivationally_related_form	07434473
anomaly:	00915722	_derivationally_related_form	00877127
anomaly:	04628080	_derivationally_related_form	14738752
anomaly:	13625884	_derivationally_related_form	01127379
anomaly:	01148283	_hypernym	05277728
anomaly:	01711445	_hypernym	13602526
anomaly:	02250625	_hypernym	14174549
anomaly:	12727518	_hypernym	04565375
anomaly:	05703956	_derivationally_related_form	13625237
anomaly:	00446514	_derivationally_related_form	02275365
anomaly:	04046974	_derivationally_related_form	02142626
anomaly:	14753414	_derivationally_related_form	00798539
anomaly:	02855925	_hypernym	11564258
anomaly:	00332445	_derivationally_related_form	06630627
anomaly:	05917174	_derivationally_related_form	00666350
anomaly:	02853016	_derivationally_related_form	01823370
